id,X,Y,name,riv_or_lake,riv_or_lake_id,code
149180020.0,18.32751633944421,49.92126752880372,CHAŁUPKI,Odra,10,1
149180300.0,18.3266558880614,49.954533694782825,OLZA,Odra,15,1
149180010.0,18.28780503549787,49.99300556295326,KRZYŻANOWICE,Odra,20,1
150189994.0,18.216205800803856,50.09595663073473,RACIBÓRZ,Odra,25,1
150180060.0,18.229654127174925,50.12208285285044,RACIBÓRZ-MIEDONIA,Odra,30,1
150180030.0,18.146922661036303,50.3515332138479,KOŹLE,Odra,31,1
150170240.0,17.9688695717379,50.476311144331866,KRAPKOWICE,Odra,32,1
150170230.0,17.916515025855496,50.66984351945756,OPOLE,Odra,33,1
150170130.0,17.662236697462177,50.816296606069024,UJŚCIE NYSY KŁODZKIEJ,Odra,34,1
150170090.0,17.46947679545908,50.86557179703904,BRZEG,Odra,35,1
150170040.0,17.306030978148737,50.946782000959246,OŁAWA,Odra,36,1
151170030.0,17.14712402755318,51.08178466830656,TRESTNO,Odra,37,1
151160170.0,16.72670337920669,51.26062821315101,BRZEG DOLNY,Odra,38,1
151160150.0,16.49373519922942,51.225793577466845,MALCZYCE,Odra,40,1
151160130.0,16.443625289845027,51.408647996686845,ŚCINAWA,Odra,50,1
151160060.0,16.091786307176548,51.66798632677049,GŁOGÓW,Odra,51,1
151150150.0,15.721441045781582,51.80206322488406,NOWA SÓL,Odra,60,1
152150130.0,15.609156404673769,52.03263441743066,CIGACICE,Odra,70,1
152150050.0,15.347684623458417,52.046336815022194,NIETKÓW,Odra,71,1
152140130.0,14.892775960613625,52.05255737163839,POŁĘCKO,Odra,80,1
152140090.0,14.728395526225642,52.0928666135582,BIAŁA GÓRA,Odra,85,1
152140050.0,14.5560057814286,52.348227615519455,SŁUBICE,Odra,90,1
152140060.0,14.609531840555668,52.599692426791016,KOSTRZYN NAD ODRĄ,Odra,95,1
152140020.0,14.32034700799559,52.76347242351453,GOZDOWICE,Odra,100,1
152140010.0,14.152775239472884,52.928243794855504,BIELINEK,Odra,101,1
153140020.0,14.382136968466847,53.12215799479068,WIDUCHOWA,Odra,110,1
153140030.0,14.484323600300092,53.25759228817251,GRYFINO,Odra,111,1
153140050.0,14.560358602793205,53.42253168242034,SZCZECIN-MOST DŁUGI,Odra,112,1
153140190.0,14.592802553803546,53.369100041379646,SZCZECIN-PODJUCHY,Regalica,113,1975
150170160.0,17.769537633277462,50.05135769481044,BRANICE,Opawa,114,112
150170170.0,17.771564079353244,50.05158772519617,BRANICE,Boczne koryto Opawy,115,112374
150179997.0,17.60327725501668,50.15125288293062,OPAWICA,Opawica,116,1122
149180130.0,18.892997131949567,49.571990056193975,ISTEBNA,Olza,120,114
149180060.0,18.62972009967745,49.74616232746128,CIESZYN,Olza,130,114
149180070.0,18.631366860180208,49.74629433693237,CIESZYN,Młynówka,131,11448
149180030.0,18.443716229318056,49.92389638659533,ŁAZISKA,Olza,132,114
149180050.0,18.61325611012752,49.88024801527151,ZEBRZYDOWICE,Piotrówka,140,1146
149189998.0,18.627684099487738,49.88509851814235,ZEBRZYDOWICE,Pielgrzymówka,150,11468
149180040.0,18.496399160091325,49.925788352708096,GOŁKOWICE,Szotkówka,160,1148
149189999.0,18.47049535782626,49.934604849936335,GODÓW,Lesznica,170,11488
150189995.0,18.14151733022332,50.04552778752096,SAMBOROWICE,Psina,180,1152
150180040.0,18.153911361068904,50.03051265745813,BOJANÓW,Psina,190,1152
150189999.0,18.01637977995101,50.083161932069686,KIETRZ,Troja,200,11526
150189996.0,18.054401790054595,50.06855814721158,GRÓDCZANKI,Troja,201,11526
150180090.0,18.310364274845508,50.15790709887901,NĘDZA,Sumina,210,11568
150180200.0,18.59929916544144,50.092369286046925,GOTARTOWICE,Ruda,230,1156
150180280.0,18.62879651475672,50.0856771373837,RYBNIK-GOTARTOWICE,Ruda,235,1156
150180130.0,18.48288546365187,50.15428360644947,RYBNIK-STODOŁY,Ruda,237,1156
150180110.0,18.401958909869236,50.20459341464057,RUDA KOZIELSKA,Ruda,240,1156
150180140.0,18.5359725385499,50.10103452743205,RYBNIK,Nacyna,250,11564
150180120.0,18.46745564836018,50.25690601068028,TWORÓG MAŁY,Bierawka,260,1158
150180080.0,18.275821600456627,50.28474133942506,GRABÓWKA,Bierawka,261,1158
150189993.0,18.2637550371355,50.2875925889559,BIERAWA,Bierawka,270,1158
150180250.0,18.86452248994069,50.23669263186928,KŁODNICA,Kłodnica,280,116
150180220.0,18.667834980797178,50.29803982535637,GLIWICE,Kłodnica,290,116
150180180.0,18.61488647688703,50.34257124086317,GLIWICE-ŁABĘDY,Kłodnica,295,116
150180150.0,18.542772285086283,50.38003206494056,PYSKOWICE-DZIERŻNO,Kłodnica,298,116
150189992.0,18.426041957696945,50.38274279707695,ŁANY MAŁE,Kłodnica,300,116
150180070.0,18.23582978018529,50.35732516495317,LENARTOWICE,Kłodnica,310,116
150180240.0,18.72799979234961,50.30450285099018,GLIWICE,Bytomka,320,1164
150180170.0,18.58835037008699,50.38642582503668,PYSKOWICE,Drama,322,1166
150170290.0,17.938712286826625,50.63369671688303,OPOLE-GROSZOWICE,Odra,324,1
150180160.0,18.54347138665913,50.38233403625912,PYSKOWICE-DZIERŻNO,Drama,324,1166
150180010.0,18.042554452540777,50.39152135195415,KAMIONKA,Stradunia,330,1174
150170180.0,17.78999044222515,50.31578805332542,RACŁAWICE ŚLĄSKIE,Osobłoga,340,1176
150179995.0,17.898954313566808,50.43446746224353,KOMORNIKI,Osobłoga,350,1176
